epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.43533,1.34839,3.46845,1.53154,0.00293,0.52273,0.03074,0.00574,1.32684,4.03462,1.72243,2.5e-05,2.5e-05,2.5e-05
2,13.419,1.2847,3.39085,1.57505,0.0025,0.5,0.04584,0.01075,1.19698,3.96017,1.59029,6.12625e-05,6.12625e-05,6.12625e-05
3,19.1296,1.1454,3.34528,1.38128,0.00258,0.5,0.08632,0.02942,1.17781,3.89555,1.53832,9.604e-05,9.604e-05,9.604e-05
4,24.9033,0.96913,3.09274,1.2332,0.00417,0.64773,0.16441,0.07384,0.98811,3.84042,1.38792,0.000129332,0.000129332,0.000129332
5,30.649,0.90584,2.66392,1.23882,0.00617,0.71591,0.2297,0.11262,0.95138,3.71878,1.27191,0.00016114,0.00016114,0.00016114
6,36.3301,0.87168,2.28162,1.14639,0.00854,0.82576,0.16198,0.0785,1.05918,3.61958,1.3994,0.000191463,0.000191463,0.000191463
7,42.0508,0.79323,2.08213,1.12003,0.01098,0.89394,0.15422,0.0872,1.11728,3.51747,1.43156,0.0002203,0.0002203,0.0002203
8,47.8286,0.78036,1.77919,1.09128,0.01162,0.89394,0.2124,0.10712,1.07317,3.47955,1.40482,0.000247653,0.000247653,0.000247653
9,53.6046,0.85721,1.87298,1.20105,0.01322,0.91667,0.37087,0.16111,0.9946,3.46812,1.33632,0.00027352,0.00027352,0.00027352
10,59.4839,0.73445,1.50557,1.12167,0.01377,0.91667,0.40225,0.16142,1.02187,3.49414,1.34421,0.000297903,0.000297903,0.000297903
11,65.2989,0.67794,1.3087,1.03663,0.01228,0.83333,0.41121,0.16784,1.02528,3.5247,1.37563,0.0003208,0.0003208,0.0003208
12,71.0302,0.77912,1.30887,1.12369,0.00962,0.76515,0.45261,0.21664,1.05351,3.52277,1.43909,0.000342213,0.000342213,0.000342213
13,76.7619,0.72877,1.26699,1.11187,0.88077,0.37024,0.4611,0.25002,1.17247,3.42175,1.54552,0.00036214,0.00036214,0.00036214
14,82.5434,0.68936,1.26462,1.07881,0.82278,0.375,0.50811,0.24597,1.18444,3.34991,1.53404,0.000380582,0.000380582,0.000380582
15,88.3147,0.69717,1.17686,1.05083,0.78677,0.38444,0.46275,0.29375,1.19463,3.322,1.41788,0.00039754,0.00039754,0.00039754
16,93.9989,0.77201,1.28294,1.09555,0.8394,0.16667,0.45009,0.24477,1.20749,3.36798,1.43102,0.000413012,0.000413012,0.000413012
17,99.7278,0.72612,1.08829,1.05086,0.85292,0.16667,0.47205,0.25669,1.13149,3.41823,1.38071,0.000427,0.000427,0.000427
18,105.386,0.68607,1.07399,1.02431,0.72594,0.16667,0.50343,0.30246,1.16716,3.32433,1.44408,0.000439502,0.000439502,0.000439502
19,111.087,0.62505,1.08368,1.00682,0.72542,0.16667,0.49622,0.22661,1.11445,3.27556,1.41389,0.00045052,0.00045052,0.00045052
20,116.738,0.74484,1.18188,1.10355,0.54609,0.39311,0.46989,0.20735,1.10964,3.2691,1.45018,0.000460053,0.000460053,0.000460053
21,122.418,0.75145,1.12037,1.05376,0.55849,0.4276,0.46822,0.18699,1.1482,3.27318,1.47817,0.0004681,0.0004681,0.0004681
22,128.089,0.76897,1.0541,1.09916,0.55376,0.42484,0.41804,0.17935,1.16529,3.30381,1.514,0.000474663,0.000474663,0.000474663
23,133.797,0.69328,1.12729,1.07268,0.54853,0.42058,0.43807,0.18335,1.18714,3.25603,1.55841,0.00047974,0.00047974,0.00047974
24,139.444,0.65899,1.02245,1.01121,0.46001,0.22917,0.47538,0.2223,1.18916,3.21919,1.54097,0.000483333,0.000483333,0.000483333
25,145.084,0.69488,0.98404,1.05336,0.84711,0.22917,0.50162,0.23557,1.19999,3.20198,1.52089,0.00048544,0.00048544,0.00048544
26,150.792,0.60612,1.0429,1.0177,0.48222,0.55763,0.46642,0.25343,1.21672,3.07751,1.64693,0.000486063,0.000486063,0.000486063
27,156.443,0.63973,0.98574,1.06708,0.44286,0.50189,0.50948,0.25435,1.19156,3.04041,1.59808,0.0004852,0.0004852,0.0004852
28,162.075,0.68131,1.04077,1.07386,0.48713,0.5009,0.51468,0.27638,1.1359,3.05808,1.46254,0.000482852,0.000482852,0.000482852
